"price","dateoftransfer","yearchi","tfarea","laua","ldnm","region"
260000,2009-04-24,2009,83,"E07000208","Epsom and Ewell","South East"
172000,2009-11-20,2009,63.276,"E07000208","Epsom and Ewell","South East"
665000,2009-12-22,2009,119.35,"E07000208","Epsom and Ewell","South East"
6e+05,2009-09-04,2009,146.43,"E07000208","Epsom and Ewell","South East"
170000,2009-07-29,2009,58.17,"E07000208","Epsom and Ewell","South East"
222500,2009-12-04,2009,59.5,"E07000208","Epsom and Ewell","South East"
250000,2009-09-30,2009,71,"E07000208","Epsom and Ewell","South East"
250000,2009-07-28,2009,54,"E07000208","Epsom and Ewell","South East"
220000,2009-12-17,2009,64,"E07000208","Epsom and Ewell","South East"
205000,2009-05-29,2009,75.4,"E07000208","Epsom and Ewell","South East"
218000,2009-11-05,2009,76.38,"E07000208","Epsom and Ewell","South East"
190000,2009-10-23,2009,63.09,"E07000208","Epsom and Ewell","South East"
2e+05,2009-10-19,2009,59.12,"E07000208","Epsom and Ewell","South East"
412500,2009-05-15,2009,107.96,"E07000208","Epsom and Ewell","South East"
210000,2009-05-29,2009,81.1,"E07000208","Epsom and Ewell","South East"
285000,2009-03-27,2009,80.92,"E07000208","Epsom and Ewell","South East"
610000,2009-03-18,2009,178.34,"E07000208","Epsom and Ewell","South East"
477500,2009-10-27,2009,165,"E07000208","Epsom and Ewell","South East"
325000,2009-09-08,2009,90.2,"E07000208","Epsom and Ewell","South East"
270000,2009-09-01,2009,86.58,"E07000208","Epsom and Ewell","South East"
275000,2009-07-08,2009,83.93,"E07000208","Epsom and Ewell","South East"
217000,2009-04-28,2009,94.19,"E07000208","Epsom and Ewell","South East"
216500,2009-09-18,2009,61.3,"E07000208","Epsom and Ewell","South East"
108000,2009-07-03,2009,21.03,"E07000208","Epsom and Ewell","South East"
415000,2009-08-19,2009,172.85,"E07000208","Epsom and Ewell","South East"
145500,2009-03-26,2009,55.9,"E07000208","Epsom and Ewell","South East"
137500,2009-11-27,2009,43,"E07000208","Epsom and Ewell","South East"
460000,2009-06-09,2009,122.8,"E07000208","Epsom and Ewell","South East"
247000,2009-07-03,2009,99.258,"E07000208","Epsom and Ewell","South East"
189995,2009-09-14,2009,55.32,"E07000208","Epsom and Ewell","South East"
168000,2009-02-27,2009,60.44,"E07000208","Epsom and Ewell","South East"
194000,2009-03-26,2009,57.1,"E07000208","Epsom and Ewell","South East"
260000,2009-06-19,2009,81.3,"E07000208","Epsom and Ewell","South East"
113000,2009-04-28,2009,49.51,"E07000208","Epsom and Ewell","South East"
225000,2009-07-20,2009,78,"E07000208","Epsom and Ewell","South East"
380000,2009-12-14,2009,72.11,"E07000208","Epsom and Ewell","South East"
270000,2009-04-29,2009,84.3,"E07000208","Epsom and Ewell","South East"
250000,2009-08-17,2009,92.8,"E07000208","Epsom and Ewell","South East"
610000,2009-11-12,2009,127.03,"E07000208","Epsom and Ewell","South East"
420000,2009-07-08,2009,111.59,"E07000208","Epsom and Ewell","South East"
210000,2009-11-23,2009,119.8,"E07000208","Epsom and Ewell","South East"
197000,2009-06-04,2009,55.9,"E07000208","Epsom and Ewell","South East"
247000,2009-12-18,2009,101.88,"E07000208","Epsom and Ewell","South East"
215000,2009-09-09,2009,51.1,"E07000208","Epsom and Ewell","South East"
175000,2009-06-23,2009,62.35,"E07000208","Epsom and Ewell","South East"
225000,2009-05-22,2009,76.65,"E07000208","Epsom and Ewell","South East"
440000,2009-11-10,2009,122,"E07000208","Epsom and Ewell","South East"
575000,2009-08-24,2009,142.9,"E07000208","Epsom and Ewell","South East"
405000,2009-06-23,2009,161.5,"E07000208","Epsom and Ewell","South East"
347500,2009-10-29,2009,93.95,"E07000208","Epsom and Ewell","South East"
220000,2009-12-04,2009,61.22,"E07000208","Epsom and Ewell","South East"
349950,2009-04-09,2009,136,"E07000208","Epsom and Ewell","South East"
447000,2009-08-07,2009,134.612,"E07000208","Epsom and Ewell","South East"
204000,2009-07-17,2009,50.96,"E07000208","Epsom and Ewell","South East"
232000,2009-08-07,2009,66.28,"E07000208","Epsom and Ewell","South East"
181500,2009-09-07,2009,45.98,"E07000208","Epsom and Ewell","South East"
357500,2009-04-22,2009,80.24,"E07000208","Epsom and Ewell","South East"
167000,2009-01-16,2009,50,"E07000208","Epsom and Ewell","South East"
328000,2009-11-06,2009,87.96,"E07000208","Epsom and Ewell","South East"
210000,2009-03-02,2009,80.47,"E07000208","Epsom and Ewell","South East"
440000,2009-11-06,2009,89.46,"E07000208","Epsom and Ewell","South East"
255000,2009-11-27,2009,71.51,"E07000208","Epsom and Ewell","South East"
315000,2009-09-28,2009,73.8,"E07000208","Epsom and Ewell","South East"
245000,2009-01-08,2009,81.02,"E07000208","Epsom and Ewell","South East"
250000,2009-10-26,2009,79,"E07000208","Epsom and Ewell","South East"
187000,2009-02-12,2009,55.9,"E07000208","Epsom and Ewell","South East"
140000,2009-07-28,2009,40.99,"E07000208","Epsom and Ewell","South East"
280000,2009-06-29,2009,105.4,"E07000208","Epsom and Ewell","South East"
225000,2009-12-18,2009,56.6,"E07000208","Epsom and Ewell","South East"
350000,2009-08-28,2009,97.12,"E07000208","Epsom and Ewell","South East"
210000,2009-07-17,2009,68.763,"E07000208","Epsom and Ewell","South East"
550000,2009-10-09,2009,158.284,"E07000208","Epsom and Ewell","South East"
223000,2009-05-13,2009,82.88,"E07000208","Epsom and Ewell","South East"
270000,2009-07-02,2009,101.03,"E07000208","Epsom and Ewell","South East"
155000,2009-06-23,2009,57.92,"E07000208","Epsom and Ewell","South East"
250000,2009-03-12,2009,122.66,"E07000208","Epsom and Ewell","South East"
399950,2009-10-30,2009,84.3,"E07000208","Epsom and Ewell","South East"
303000,2009-09-01,2009,92,"E07000208","Epsom and Ewell","South East"
260000,2009-11-27,2009,69.1,"E07000208","Epsom and Ewell","South East"
187000,2009-08-24,2009,64.02,"E07000208","Epsom and Ewell","South East"
210000,2009-10-30,2009,74.69,"E07000208","Epsom and Ewell","South East"
182500,2009-12-04,2009,57.81,"E07000208","Epsom and Ewell","South East"
250000,2009-09-15,2009,106.85,"E07000208","Epsom and Ewell","South East"
547500,2009-08-28,2009,171,"E07000208","Epsom and Ewell","South East"
390000,2009-08-04,2009,107,"E07000208","Epsom and Ewell","South East"
317500,2009-10-07,2009,86.7,"E07000208","Epsom and Ewell","South East"
292000,2009-08-13,2009,79.74,"E07000208","Epsom and Ewell","South East"
175000,2009-11-17,2009,81.52,"E07000208","Epsom and Ewell","South East"
90000,2009-01-07,2009,46.97,"E07000208","Epsom and Ewell","South East"
3e+05,2009-06-08,2009,87.2,"E07000208","Epsom and Ewell","South East"
420000,2009-12-01,2009,96.84,"E07000208","Epsom and Ewell","South East"
477500,2009-08-20,2009,175.89,"E07000208","Epsom and Ewell","South East"
495000,2009-12-15,2009,148.92,"E07000208","Epsom and Ewell","South East"
360000,2009-05-01,2009,97.3,"E07000208","Epsom and Ewell","South East"
175000,2009-09-11,2009,47.28,"E07000208","Epsom and Ewell","South East"
490000,2009-12-21,2009,146.17,"E07000208","Epsom and Ewell","South East"
172500,2009-07-27,2009,55.49,"E07000208","Epsom and Ewell","South East"
9e+05,2009-05-26,2009,287.77,"E07000208","Epsom and Ewell","South East"
223000,2009-08-14,2009,67.85,"E07000208","Epsom and Ewell","South East"
330000,2009-05-15,2009,86,"E07000208","Epsom and Ewell","South East"
535000,2009-08-06,2009,228.14,"E07000208","Epsom and Ewell","South East"
320000,2009-05-15,2009,78,"E07000208","Epsom and Ewell","South East"
225000,2009-06-08,2009,68.89,"E07000208","Epsom and Ewell","South East"
755000,2009-08-28,2009,214.6,"E07000208","Epsom and Ewell","South East"
250000,2009-06-29,2009,79,"E07000208","Epsom and Ewell","South East"
334950,2009-02-24,2009,135,"E07000208","Epsom and Ewell","South East"
464000,2009-10-16,2009,144.3,"E07000208","Epsom and Ewell","South East"
209000,2009-04-24,2009,88,"E07000208","Epsom and Ewell","South East"
320000,2009-05-11,2009,114.9,"E07000208","Epsom and Ewell","South East"
235000,2009-03-31,2009,84.78,"E07000208","Epsom and Ewell","South East"
390000,2009-05-12,2009,111.15,"E07000208","Epsom and Ewell","South East"
182500,2009-06-19,2009,63,"E07000208","Epsom and Ewell","South East"
396000,2009-07-02,2009,116.33,"E07000208","Epsom and Ewell","South East"
290000,2009-10-23,2009,88.18,"E07000208","Epsom and Ewell","South East"
775000,2009-06-12,2009,264.16,"E07000208","Epsom and Ewell","South East"
130000,2009-07-28,2009,41.63,"E07000208","Epsom and Ewell","South East"
305000,2009-07-10,2009,110.4,"E07000208","Epsom and Ewell","South East"
675000,2009-11-06,2009,234.4,"E07000208","Epsom and Ewell","South East"
